"Priorite de cible";"Interlocuteurs a rechercher";"Objectif TVF";"Resultat attendu";"Priorite";"Canal conseille";"Categorie back-office";"Message principal"
"Collectivite";"Ville de Saint-Etienne / services habitat, commerce, transition, politique de la ville";"Presenter TVF comme outil de cooperation territoriale";"Rendez-vous de cadrage";"Haute";"E-mail institutionnel + appel";"collectivite-territoire";"Demander le bon interlocuteur et proposer 30 min"
"Intercommunalite";"Saint-Etienne Metropole / habitat, developpement economique, dechets, foncier";"Aligner TVF avec les priorites metropolitaines";"Rendez-vous territorial";"Haute";"E-mail institutionnel + courrier";"collectivite-territoire";"Mettre en avant methode, indicateurs et pilote"
"Departement / Region";"Services insertion, ESS, environnement, amenagement";"Identifier soutiens, dispositifs et relais territoriaux";"Orientation vers dispositifs et contacts";"Moyenne";"E-mail + LinkedIn";"financement-mecenat";"Demander orientation sans promettre partenariat"
"Bailleurs / habitat";"Bailleurs sociaux, syndics, agences, reseaux immobiliers";"Identifier logements ou locaux vacants a qualifier";"Proposition de biens ou donnees";"Haute";"E-mail + appel";"bien-vacant-proprietaire";"Demander biens vacants, contraintes, interlocuteur"
"Proprietaires prives";"Proprietaires de logements, immeubles, commerces ou terrains vacants";"Proposer le programme Bien Solidaire a Usage Partage";"Biens candidats";"Haute";"Courrier + formulaire + WhatsApp";"bien-vacant-proprietaire";"Rassurer sur propriete, convention, instruction"
"Entreprises BTP";"Artisans, entreprises renovation, demolition, second oeuvre";"Identifier materiaux, competences, transport";"Materiaux ou mecanat de competences";"Haute";"E-mail + LinkedIn + appel";"materiaux-reemploi";"Insister sur RSE, tracabilite, qualification"
"Negoces materiaux";"Negoces, magasins bricolage, fournisseurs, stocks dormants";"Valoriser invendus, fins de serie, surplus";"Don ou convention de valorisation";"Haute";"E-mail entreprise + appel";"materiaux-reemploi";"Preciser que TVF affecte aux projets valides"
"Stockage / logistique";"Entrepots, transporteurs, garages, locaux disponibles";"Trouver local de stockage et aide transport";"Mise a disposition ou tarif solidaire";"Urgente";"E-mail + appel direct";"entreprise-partenariat";"Besoin prioritaire de demarrage"
"Structures insertion";"Chantiers insertion, regies de quartier, structures ESS";"Construire parcours chantier, formation, benevolat encadre";"Premier echange operationnel";"Haute";"E-mail + appel";"benevolat-insertion";"Parler securite, encadrement, progressivite"
"Associations locales";"Associations quartier, solidarite, culture, environnement";"Identifier besoins, locaux, materiel, benevoles";"Cooperation locale";"Moyenne";"E-mail + Facebook + WhatsApp";"benevolat-insertion";"Demander besoins concrets et ressources"
"Commerces / artisans";"Commerces vacants, unions commerciales, artisans";"Identifier locaux et besoins de proximite";"Signalements et idees de reconversion";"Moyenne";"Terrain + e-mail";"collectivite-territoire";"Relier commerce vivant et centre-ville"
"Enseignement / formation";"Lycees pro, CFA, ecoles, universites, formations BTP/urbanisme";"Mobiliser competences, stages, projets pedagogiques";"Partenariat pedagogique futur";"Moyenne";"E-mail + LinkedIn";"benevolat-insertion";"Rester prudent avant convention"
"Fondations / mecenes";"Fondations, clubs entreprises, banques locales, mecenes";"Presenter dossier TVF et pilote Saint-Etienne";"Demande de dossier / rendez-vous";"Haute";"LinkedIn + e-mail dossier";"financement-mecenat";"Mettre en avant impact mesurable et gouvernance"
"Presse locale";"Medias locaux, radios, journaux, blogs territoriaux";"Faire connaitre le lancement TVF";"Article ou interview";"Moyenne";"Communique + kit media";"presse-institutionnel";"Ne communiquer que les faits valides"
"Citoyens / habitants";"Habitants de Saint-Etienne et alentours";"Recevoir signalements et benevoles";"Signalements / inscriptions";"Moyenne";"Instagram + Facebook + WhatsApp";"demande-generale";"Message simple et actionnable"
